LAT,LON,YEAR,MO,DY,RH2M,T2M
6.79601,79.90121,1997,4,22,79,27.67
6.79601,79.90121,1997,4,23,77.1,27.8
6.79601,79.90121,1997,4,24,77.43,28.21
6.79601,79.90121,1997,4,25,79.02,27.91
6.79601,79.90121,1997,4,26,82.38,27.66
6.79601,79.90121,1997,4,27,81.09,27.65
6.79601,79.90121,1997,4,28,80.85,27.1
6.79601,79.90121,1997,4,29,78.26,27.56
6.79601,79.90121,1997,4,30,76.75,27.98
6.79601,79.90121,1997,5,1,84.65,27.39
6.79601,79.90121,1997,5,2,84.03,27.71
6.79601,79.90121,1997,5,3,85.15,27.21
6.79601,79.90121,1997,5,4,84.1,27.15
6.79601,79.90121,1997,5,5,82.54,27.43
6.79601,79.90121,1997,5,6,83.96,27.42
6.79601,79.90121,1997,5,7,86.26,27.26
6.79601,79.90121,1997,5,8,88.06,26.9
6.79601,79.90121,1997,5,9,85.04,27.42
6.79601,79.90121,1997,5,10,87.62,27.24
6.79601,79.90121,1997,5,11,83.98,27.58
6.79601,79.90121,1997,5,12,84.96,27.46
6.79601,79.90121,1997,5,13,82.83,27.26
6.79601,79.90121,1997,5,14,84.15,26.95
6.79601,79.90121,1997,5,15,85.02,26.48
6.79601,79.90121,1997,5,16,83.82,27.71
6.79601,79.90121,1997,5,17,81.99,28.2
6.79601,79.90121,1997,5,18,80.19,28.34
6.79601,79.90121,1997,5,19,79.32,28.08
6.79601,79.90121,1997,5,20,76.18,28.23
6.79601,79.90121,1997,5,21,78.84,28.14
6.79601,79.90121,1997,5,22,78.4,28.36
6.79601,79.90121,1997,5,23,80.08,28.11
6.79601,79.90121,1997,5,24,79.36,28.37
6.79601,79.90121,1997,5,25,80.44,28.13
6.79601,79.90121,1997,5,26,81.39,27.95
6.79601,79.90121,1997,5,27,82.3,27.39
6.79601,79.90121,1997,5,28,81.72,27.66
6.79601,79.90121,1997,5,29,81.79,27.84
6.79601,79.90121,1997,5,30,80.04,28.11
6.79601,79.90121,1997,5,31,80.28,28.04
6.79601,79.90121,1997,6,1,79.69,27.83
6.79601,79.90121,1997,6,2,78.31,27.99
6.79601,79.90121,1997,6,3,79.08,28.11
6.79601,79.90121,1997,6,4,76.82,28.54
6.79601,79.90121,1997,6,5,76.81,28.2
6.79601,79.90121,1997,6,6,75.99,27.93
6.79601,79.90121,1997,6,7,76.75,27.98
6.79601,79.90121,1997,6,8,79.79,27.68
6.79601,79.90121,1997,6,9,80.96,27.69
6.79601,79.90121,1997,6,10,79.86,27.9
6.79601,79.90121,1997,6,11,81.56,27.75
6.79601,79.90121,1997,6,12,85.46,27.23
6.79601,79.90121,1997,6,13,83.82,27.18
6.79601,79.90121,1997,6,14,82.81,26.87
6.79601,79.90121,1997,6,15,80.7,27.39
6.79601,79.90121,1997,6,16,80.93,27.66
6.79601,79.90121,1997,6,17,80.15,27.66
6.79601,79.90121,1997,6,18,79.9,27.84
6.79601,79.90121,1997,6,19,82.17,27.58
6.79601,79.90121,1997,6,20,82.2,26.8
6.79601,79.90121,1997,6,21,80.98,27.35
6.79601,79.90121,1997,6,22,80.92,28.01
6.79601,79.90121,1997,6,23,81.53,27.76
6.79601,79.90121,1997,6,24,81.16,27.63
6.79601,79.90121,1997,6,25,78.72,27.58
6.79601,79.90121,1997,6,26,85.39,27.43
6.79601,79.90121,1997,6,27,86.15,27.43
6.79601,79.90121,1997,6,28,83.89,27.34
6.79601,79.90121,1997,6,29,83.77,27.29
6.79601,79.90121,1997,6,30,82.87,26.96
6.79601,79.90121,1997,7,1,82.56,26.92
6.79601,79.90121,1997,7,2,82.29,27.24
6.79601,79.90121,1997,7,3,82.97,27.17
6.79601,79.90121,1997,7,4,78.76,27.16
6.79601,79.90121,1997,7,5,78.36,27.24
6.79601,79.90121,1997,7,6,80.83,27.18
6.79601,79.90121,1997,7,7,82.16,26.74
6.79601,79.90121,1997,7,8,76.51,27.11
6.79601,79.90121,1997,7,9,76.8,27.7
6.79601,79.90121,1997,7,10,83.87,27.09
6.79601,79.90121,1997,7,11,83.6,27.22
6.79601,79.90121,1997,7,12,85.34,26.49
6.79601,79.90121,1997,7,13,82.91,27.58
6.79601,79.90121,1997,7,14,79.85,28.16
6.79601,79.90121,1997,7,15,81.73,27.92
6.79601,79.90121,1997,7,16,81.86,28
6.79601,79.90121,1997,7,17,82.92,27.85
6.79601,79.90121,1997,7,18,83.33,27.5
6.79601,79.90121,1997,7,19,83.09,27.05
6.79601,79.90121,1997,7,20,87.48,26.53
6.79601,79.90121,1997,7,21,86.89,26.45
6.79601,79.90121,1997,7,22,87.35,26.53
6.79601,79.90121,1997,7,23,86.62,26.52
6.79601,79.90121,1997,7,24,85.44,26.4
6.79601,79.90121,1997,7,25,85.2,26.79
6.79601,79.90121,1997,7,26,83.78,27.06
6.79601,79.90121,1997,7,27,83.37,26.94
6.79601,79.90121,1997,7,28,83.31,26.83
6.79601,79.90121,1997,7,29,84.09,26.79
6.79601,79.90121,1997,7,30,83.54,26.91
6.79601,79.90121,1997,7,31,82.15,27.22
6.79601,79.90121,1997,8,1,81.81,27.35
6.79601,79.90121,1997,8,2,83.36,27.56
6.79601,79.90121,1997,8,3,82.82,27.59
6.79601,79.90121,1997,8,4,85.5,27.12
6.79601,79.90121,1997,8,5,82.59,27.17
6.79601,79.90121,1997,8,6,81.01,27.33
6.79601,79.90121,1997,8,7,81.74,27.21
6.79601,79.90121,1997,8,8,86.15,26.58
6.79601,79.90121,1997,8,9,85.7,26.53
6.79601,79.90121,1997,8,10,84.53,26.48
6.79601,79.90121,1997,8,11,83.05,26.78
6.79601,79.90121,1997,8,12,87.1,26.81
6.79601,79.90121,1997,8,13,86.71,26.32
6.79601,79.90121,1997,8,14,84.2,26.97
6.79601,79.90121,1997,8,15,83.93,26.95
6.79601,79.90121,1997,8,16,80.53,27.07
6.79601,79.90121,1997,8,17,79.95,27.14
6.79601,79.90121,1997,8,18,83.36,26.73
6.79601,79.90121,1997,8,19,85.66,26.81
6.79601,79.90121,1997,8,20,87.41,26.63
6.79601,79.90121,1997,8,21,82.63,26.68
6.79601,79.90121,1997,8,22,80.37,27.12
6.79601,79.90121,1997,8,23,83.3,26.93
6.79601,79.90121,1997,8,24,84.57,26.95
6.79601,79.90121,1997,8,25,80.15,27.46
6.79601,79.90121,1997,8,26,78.54,27.76
6.79601,79.90121,1997,8,27,83.43,27.55
6.79601,79.90121,1997,8,28,83.84,27.28
6.79601,79.90121,1997,8,29,85.28,26.93
6.79601,79.90121,1997,8,30,84.34,26.97
6.79601,79.90121,1997,8,31,84.04,26.97
6.79601,79.90121,1997,9,1,83.83,27.14
6.79601,79.90121,1997,9,2,82.17,27.22
6.79601,79.90121,1997,9,3,79.38,27.29
6.79601,79.90121,1997,9,4,80.87,27.33
6.79601,79.90121,1997,9,5,82.49,27.22
6.79601,79.90121,1997,9,6,79.74,26.96
6.79601,79.90121,1997,9,7,81.69,27.18
6.79601,79.90121,1997,9,8,80.83,27.06
6.79601,79.90121,1997,9,9,78.79,27.26
6.79601,79.90121,1997,9,10,83.48,26.91
6.79601,79.90121,1997,9,11,84.17,26.56
6.79601,79.90121,1997,9,12,85.73,26.06
6.79601,79.90121,1997,9,13,89.08,25.7
6.79601,79.90121,1997,9,14,85.03,26.2
6.79601,79.90121,1997,9,15,89.66,25.9
6.79601,79.90121,1997,9,16,86.76,25.9
6.79601,79.90121,1997,9,17,86.53,26.13
6.79601,79.90121,1997,9,18,85.22,26.18
6.79601,79.90121,1997,9,19,85.81,26.27
6.79601,79.90121,1997,9,20,87.45,26.59
6.79601,79.90121,1997,9,21,87.66,26.38
6.79601,79.90121,1997,9,22,86.68,26.54
6.79601,79.90121,1997,9,23,86.02,26.64
6.79601,79.90121,1997,9,24,86.38,26.68
6.79601,79.90121,1997,9,25,87.5,26.65
6.79601,79.90121,1997,9,26,87.11,26.4
6.79601,79.90121,1997,9,27,86.54,26.46
6.79601,79.90121,1997,9,28,88.02,26.07
6.79601,79.90121,1997,9,29,81.47,26.6
6.79601,79.90121,1997,9,30,84.99,26.6
6.79601,79.90121,1997,10,1,85.61,25.99
6.79601,79.90121,1997,10,2,84.83,25.87
6.79601,79.90121,1997,10,3,86.1,25.66
6.79601,79.90121,1997,10,4,84.89,26.2
6.79601,79.90121,1997,10,5,85.4,26.35
6.79601,79.90121,1997,10,6,83.78,26.76
6.79601,79.90121,1997,10,7,81,27.08
6.79601,79.90121,1997,10,8,83.63,26.66
6.79601,79.90121,1997,10,9,87.67,26.02
6.79601,79.90121,1997,10,10,83.87,26.29
6.79601,79.90121,1997,10,11,80.73,27.02
6.79601,79.90121,1997,10,12,80.14,27.23
6.79601,79.90121,1997,10,13,81.33,27.13
6.79601,79.90121,1997,10,14,81.24,27.37
6.79601,79.90121,1997,10,15,82.68,27.12
6.79601,79.90121,1997,10,16,81.53,27.12
6.79601,79.90121,1997,10,17,79.55,27.58
6.79601,79.90121,1997,10,18,79.26,27.97
6.79601,79.90121,1997,10,19,80.52,27.72
6.79601,79.90121,1997,10,20,86.38,27.11
6.79601,79.90121,1997,10,21,87.93,26.76
6.79601,79.90121,1997,10,22,86.28,26.85
6.79601,79.90121,1997,10,23,82.07,26.87
6.79601,79.90121,1997,10,24,80.47,27.36
6.79601,79.90121,1997,10,25,85.19,26.82
6.79601,79.90121,1997,10,26,81.16,27.37
6.79601,79.90121,1997,10,27,84.15,26.93
6.79601,79.90121,1997,10,28,86.15,26.53
6.79601,79.90121,1997,10,29,87.03,26.6
6.79601,79.90121,1997,10,30,85.77,26.72
6.79601,79.90121,1997,10,31,74.67,27.16
6.79601,79.90121,1997,11,1,83.27,26.89
6.79601,79.90121,1997,11,2,84.1,26.9
6.79601,79.90121,1997,11,3,88.55,26.21
6.79601,79.90121,1997,11,4,90.16,26.28
6.79601,79.90121,1997,11,5,90.6,26.04
6.79601,79.90121,1997,11,6,90.57,26.2
6.79601,79.90121,1997,11,7,89.73,26.47
6.79601,79.90121,1997,11,8,85.98,27.05
6.79601,79.90121,1997,11,9,82.35,27.51
6.79601,79.90121,1997,11,10,83.08,27.1
6.79601,79.90121,1997,11,11,83.6,26.92
6.79601,79.90121,1997,11,12,87.67,26.48
6.79601,79.90121,1997,11,13,83.61,26.69
6.79601,79.90121,1997,11,14,85.16,26.11
6.79601,79.90121,1997,11,15,84.54,26.49
6.79601,79.90121,1997,11,16,82.1,27.05
6.79601,79.90121,1997,11,17,80.83,27.19
6.79601,79.90121,1997,11,18,86.39,26.72
6.79601,79.90121,1997,11,19,86.43,26.2
6.79601,79.90121,1997,11,20,81.04,26.86
6.79601,79.90121,1997,11,21,82.69,27.17
6.79601,79.90121,1997,11,22,89.34,26.59
6.79601,79.90121,1997,11,23,88.81,26.1
6.79601,79.90121,1997,11,24,84.67,25.88
6.79601,79.90121,1997,11,25,81.17,26.52
6.79601,79.90121,1997,11,26,84.34,26.48
6.79601,79.90121,1997,11,27,85.86,26.36
6.79601,79.90121,1997,11,28,81.53,27.31
6.79601,79.90121,1997,11,29,82.74,27.49
6.79601,79.90121,1997,11,30,80.2,27.31
6.79601,79.90121,1997,12,1,78.79,27.38
6.79601,79.90121,1997,12,2,83.46,27.53
6.79601,79.90121,1997,12,3,86.72,26.91
6.79601,79.90121,1997,12,4,85.35,26.76
